ID,Year,roe,ta,cc,ffr,lf
UCBI,2015,0.079,-0.0023696,0.064467186,0.118064516,1.082028275
UCBI,2016,0.095,-0.00585918,0.057874364,0.299354839,1.23973597
UCBI,2017,0.057,-0.00303749,0.067805067,0.761612903,0.431470995
UCBI,2018,0.118,-0.08514775,0.061834403,0.972580645,0.101179986
UCBI,2019,0.117,0.00790062,0.049918222,-0.723225806,0.01556497
UCBI,2020,0.086,0.57560369,0.143210333,-1.460967742,-7.588985688
UCBI,2021,0.124,0.17559228,0.071445957,-0.010322581,15.91849214
AUB,2004,0.12,0.06269718,0.05064302,1.171935484,1.065023483
AUB,2005,0.143,0.03770142,0.038972171,2.000967742,1.224294601
AUB,2006,0.136,0.02666631,0.032639133,1.080967742,0.671091796
AUB,2007,0.096,0.02634684,0.013461014,-0.993548387,-0.776062595
AUB,2008,0.063,0.92001516,0.067851275,-4.089354839,-10.79813249
AUB,2009,0.01,-0.00158462,0.051538923,-0.037096774,-23.4155207
AUB,2010,0.05,0.07526413,0.057877427,0.06516129,6.06811579
AUB,2011,0.063,0.18930096,0.085119028,-0.111612903,8.73132471
AUB,2012,0.081,0.00338707,0.081273135,0.092903226,4.94387983
AUB,2013,0.079,0.31913634,0.061679646,-0.079354839,7.899735023
AUB,2014,0.053,0.11914151,0.075446636,0.037419355,4.565764439
AUB,2015,0.068,-0.0023696,0.064467186,0.118064516,1.082028275
AUB,2016,0.078,-0.00585918,0.057874364,0.299354839,1.23973597
AUB,2017,0.071,-0.00303749,0.067805067,0.761612903,0.431470995
AUB,2018,0.078,-0.08514775,0.061834403,0.972580645,0.101179986
AUB,2019,0.077,0.00790062,0.049918222,-0.723225806,0.01556497
AUB,2020,0.059,0.57560369,0.143210333,-1.460967742,-7.588985688
AUB,2021,0.093,0.17559228,0.071445957,-0.010322581,15.91849214
SSB,2004,0.121,0.06269718,0.05064302,1.171935484,1.065023483
SSB,2005,0.128,0.03770142,0.038972171,2.000967742,1.224294601
SSB,2006,0.126,0.02666631,0.032639133,1.080967742,0.671091796
SSB,2007,0.119,0.02634684,0.013461014,-0.993548387,-0.776062595
SSB,2008,0.07,0.92001516,0.067851275,-4.089354839,-10.79813249
SSB,2009,0.031,-0.00158462,0.051538923,-0.037096774,-23.4155207
SSB,2010,0.156,0.07526413,0.057877427,0.06516129,6.06811579
SSB,2011,0.06,0.18930096,0.085119028,-0.111612903,8.73132471
SSB,2012,0.069,0.00338707,0.081273135,0.092903226,4.94387983
SSB,2013,0.064,0.31913634,0.061679646,-0.079354839,7.899735023
SSB,2014,0.077,0.11914151,0.075446636,0.037419355,4.565764439
SSB,2015,0.096,-0.0023696,0.064467186,0.118064516,1.082028275
SSB,2016,0.091,-0.00585918,0.057874364,0.299354839,1.23973597
SSB,2017,0.049,-0.00303749,0.067805067,0.761612903,0.431470995
