SL,ID,Year,roe,ta,cc,ffr,lf
7,UBSI,2016,0.073,15.31066667,7.312790128,0.54,-0.519441513
7,UBSI,2017,0.05,15.30762918,7.380595195,1.301612903,-0.087970518
7,UBSI,2018,0.079,15.22248143,7.442429598,2.274193548,0.013209468
7,UBSI,2019,0.078,15.23038205,7.49234782,1.550967742,0.028774438
7,UBSI,2020,0.072,15.80598574,7.635558153,0.09,-7.56021125
7,UBSI,2021,0.082,15.98157802,7.70700411,0.079677419,8.358280893
8,UCBI,2004,0.134,13.60352033,6.62459019,2.156129032,-1.955696159
8,UCBI,2005,0.133,13.64122175,6.663562361,4.157096774,-0.731401558
8,UCBI,2006,0.129,13.66788806,6.696201494,5.238064516,-0.060309762
8,UCBI,2007,0.074,13.6942349,6.709662508,4.244516129,-0.836372357
8,UCBI,2008,-0.073,14.61425006,6.777513783,0.15516129,-11.63450485
8,UCBI,2009,-0.257,14.61266544,6.829052706,0.118064516,-35.05002555
8,UCBI,2010,-0.692,14.68792957,6.886930133,0.183225806,-28.98190976
8,UCBI,2011,-0.407,14.87723053,6.972049161,0.071612903,-20.25058505
8,UCBI,2012,0.037,14.8806176,7.053322296,0.164516129,-15.30670522
8,UCBI,2013,0.34,15.19975394,7.115001942,0.08516129,-7.406970197
8,UCBI,2014,0.093,15.31889545,7.190448578,0.122580645,-2.841205758
8,UCBI,2015,0.079,15.31652585,7.254915764,0.240645161,-1.759177483
8,UCBI,2016,0.095,15.31066667,7.312790128,0.54,-0.519441513
8,UCBI,2017,0.057,15.30762918,7.380595195,1.301612903,-0.087970518
8,UCBI,2018,0.118,15.22248143,7.442429598,2.274193548,0.013209468
8,UCBI,2019,0.117,15.23038205,7.49234782,1.550967742,0.028774438
8,UCBI,2020,0.086,15.80598574,7.635558153,0.09,-7.56021125
8,UCBI,2021,0.124,15.98157802,7.70700411,0.079677419,8.358280893
9,AUB,2004,0.12,13.60352033,6.62459019,2.156129032,-1.955696159
9,AUB,2005,0.143,13.64122175,6.663562361,4.157096774,-0.731401558
9,AUB,2006,0.136,13.66788806,6.696201494,5.238064516,-0.060309762
9,AUB,2007,0.096,13.6942349,6.709662508,4.244516129,-0.836372357
9,AUB,2008,0.063,14.61425006,6.777513783,0.15516129,-11.63450485
9,AUB,2009,0.01,14.61266544,6.829052706,0.118064516,-35.05002555
9,AUB,2010,0.05,14.68792957,6.886930133,0.183225806,-28.98190976
9,AUB,2011,0.063,14.87723053,6.972049161,0.071612903,-20.25058505
9,AUB,2012,0.081,14.8806176,7.053322296,0.164516129,-15.30670522
9,AUB,2013,0.079,15.19975394,7.115001942,0.08516129,-7.406970197
9,AUB,2014,0.053,15.31889545,7.190448578,0.122580645,-2.841205758
9,AUB,2015,0.068,15.31652585,7.254915764,0.240645161,-1.759177483
9,AUB,2016,0.078,15.31066667,7.312790128,0.54,-0.519441513
9,AUB,2017,0.071,15.30762918,7.380595195,1.301612903,-0.087970518
9,AUB,2018,0.078,15.22248143,7.442429598,2.274193548,0.013209468
9,AUB,2019,0.077,15.23038205,7.49234782,1.550967742,0.028774438
9,AUB,2020,0.059,15.80598574,7.635558153,0.09,-7.56021125
9,AUB,2021,0.093,15.98157802,7.70700411,0.079677419,8.358280893
10,SSB,2004,0.121,13.60352033,6.62459019,2.156129032,-1.955696159
10,SSB,2005,0.128,13.64122175,6.663562361,4.157096774,-0.731401558
10,SSB,2006,0.126,13.66788806,6.696201494,5.238064516,-0.060309762
10,SSB,2007,0.119,13.6942349,6.709662508,4.244516129,-0.836372357
10,SSB,2008,0.07,14.61425006,6.777513783,0.15516129,-11.63450485
10,SSB,2009,0.031,14.61266544,6.829052706,0.118064516,-35.05002555
10,SSB,2010,0.156,14.68792957,6.886930133,0.183225806,-28.98190976
10,SSB,2011,0.06,14.87723053,6.972049161,0.071612903,-20.25058505
10,SSB,2012,0.069,14.8806176,7.053322296,0.164516129,-15.30670522
10,SSB,2013,0.064,15.19975394,7.115001942,0.08516129,-7.406970197
10,SSB,2014,0.077,15.31889545,7.190448578,0.122580645,-2.841205758
10,SSB,2015,0.096,15.31652585,7.254915764,0.240645161,-1.759177483
10,SSB,2016,0.091,15.31066667,7.312790128,0.54,-0.519441513
10,SSB,2017,0.049,15.30762918,7.380595195,1.301612903,-0.087970518
10,SSB,2018,0.076,15.22248143,7.442429598,2.274193548,0.013209468
10,SSB,2019,0.079,15.23038205,7.49234782,1.550967742,0.028774438
10,SSB,2020,0.03,15.80598574,7.635558153,0.09,-7.56021125
10,SSB,2021,0.1,15.98157802,7.70700411,0.079677419,8.358280893
11,SNV,2004,0.174,13.60352033,6.62459019,2.156129032,-1.955696159
11,SNV,2005,0.183,13.64122175,6.663562361,4.157096774,-0.731401558
11,SNV,2006,0.178,13.66788806,6.696201494,5.238064516,-0.060309762
11,SNV,2007,0.138,13.6942349,6.709662508,4.244516129,-0.836372357
11,SNV,2008,-0.166,14.61425006,6.777513783,0.15516129,-11.63450485
11,SNV,2009,-0.471,14.61266544,6.829052706,0.118064516,-35.05002555
11,SNV,2010,-0.277,14.68792957,6.886930133,0.183225806,-28.98190976
11,SNV,2011,-0.042,14.87723053,6.972049161,0.071612903,-20.25058505
11,SNV,2012,0.255,14.8806176,7.053322296,0.164516129,-15.30670522
11,SNV,2013,0.036,15.19975394,7.115001942,0.08516129,-7.406970197
11,SNV,2014,0.061,15.31889545,7.190448578,0.122580645,-2.841205758
11,SNV,2015,0.072,15.31652585,7.254915764,0.240645161,-1.759177483
11,SNV,2016,0.081,15.31066667,7.312790128,0.54,-0.519441513
11,SNV,2017,0.089,15.30762918,7.380595195,1.301612903,-0.087970518
11,SNV,2018,0.134,15.22248143,7.442429598,2.274193548,0.013209468
11,SNV,2019,0.113,15.23038205,7.49234782,1.550967742,0.028774438
11,SNV,2020,0.067,15.80598574,7.635558153,0.09,-7.56021125
11,SNV,2021,0.139,15.98157802,7.70700411,0.079677419,8.358280893
12,TCBI,2004,0.105,13.60352033,6.62459019,2.156129032,-1.955696159
12,TCBI,2005,0.131,13.64122175,6.663562361,4.157096774,-0.731401558
12,TCBI,2006,0.123,13.66788806,6.696201494,5.238064516,-0.060309762
12,TCBI,2007,0.106,13.6942349,6.709662508,4.244516129,-0.836372357
12,TCBI,2008,0.07,14.61425006,6.777513783,0.15516129,-11.63450485
12,TCBI,2009,0.04,14.61266544,6.829052706,0.118064516,-35.05002555
12,TCBI,2010,0.072,14.68792957,6.886930133,0.183225806,-28.98190976
12,TCBI,2011,0.131,14.87723053,6.972049161,0.071612903,-20.25058505
12,TCBI,2012,0.163,14.8806176,7.053322296,0.164516129,-15.30670522
12,TCBI,2013,0.108,15.19975394,7.115001942,0.08516129,-7.406970197
12,TCBI,2014,0.096,15.31889545,7.190448578,0.122580645,-2.841205758
12,TCBI,2015,0.086,15.31652585,7.254915764,0.240645161,-1.759177483
12,TCBI,2016,0.082,15.31066667,7.312790128,0.54,-0.519441513
12,TCBI,2017,0.088,15.30762918,7.380595195,1.301612903,-0.087970518
12,TCBI,2018,0.119,15.22248143,7.442429598,2.274193548,0.013209468
12,TCBI,2019,0.112,15.23038205,7.49234782,1.550967742,0.028774438
12,TCBI,2020,0.02,15.80598574,7.635558153,0.09,-7.56021125
12,TCBI,2021,0.074,15.98157802,7.70700411,0.079677419,8.358280893
13,BANF,2004,0.139,13.60352033,6.62459019,2.156129032,-1.955696159
13,BANF,2005,0.147,13.64122175,6.663562361,4.157096774,-0.731401558
13,BANF,2006,0.15,13.66788806,6.696201494,5.238064516,-0.060309762
13,BANF,2007,0.146,13.6942349,6.709662508,4.244516129,-0.836372357
13,BANF,2008,0.112,14.61425006,6.777513783,0.15516129,-11.63450485
13,BANF,2009,0.077,14.61266544,6.829052706,0.118064516,-35.05002555
13,BANF,2010,0.094,14.68792957,6.886930133,0.183225806,-28.98190976
13,BANF,2011,0.096,14.87723053,6.972049161,0.071612903,-20.25058505
13,BANF,2012,0.103,14.8806176,7.053322296,0.164516129,-15.30670522
13,BANF,2013,0.1,15.19975394,7.115001942,0.08516129,-7.406970197
13,BANF,2014,0.109,15.31889545,7.190448578,0.122580645,-2.841205758
13,BANF,2015,0.103,15.31652585,7.254915764,0.240645161,-1.759177483
13,BANF,2016,0.103,15.31066667,7.312790128,0.54,-0.519441513
13,BANF,2017,0.115,15.30762918,7.380595195,1.301612903,-0.087970518
13,BANF,2018,0.144,15.22248143,7.442429598,2.274193548,0.013209468
13,BANF,2019,0.139,15.23038205,7.49234782,1.550967742,0.028774438
13,BANF,2020,0.096,15.80598574,7.635558153,0.09,-7.56021125
13,BANF,2021,0.148,15.98157802,7.70700411,0.079677419,8.358280893
14,BANR,2004,0.092,13.60352033,6.62459019,2.156129032,-1.955696159
14,BANR,2005,0.055,13.64122175,6.663562361,4.157096774,-0.731401558
14,BANR,2006,0.133,13.66788806,6.696201494,5.238064516,-0.060309762
14,BANR,2007,0.096,13.6942349,6.709662508,4.244516129,-0.836372357
14,BANR,2008,-0.316,14.61425006,6.777513783,0.15516129,-11.63450485
14,BANR,2009,-0.106,14.61266544,6.829052706,0.118064516,-35.05002555
14,BANR,2010,-0.14,14.68792957,6.886930133,0.183225806,-28.98190976
14,BANR,2011,-0.005,14.87723053,6.972049161,0.071612903,-20.25058505
14,BANR,2012,0.107,14.8806176,7.053322296,0.164516129,-15.30670522
14,BANR,2013,0.088,15.19975394,7.115001942,0.08516129,-7.406970197
14,BANR,2014,0.095,15.31889545,7.190448578,0.122580645,-2.841205758
14,BANR,2015,0.055,15.31652585,7.254915764,0.240645161,-1.759177483
14,BANR,2016,0.064,15.31066667,7.312790128,0.54,-0.519441513
14,BANR,2017,0.046,15.30762918,7.380595195,1.301612903,-0.087970518
14,BANR,2018,0.104,15.22248143,7.442429598,2.274193548,0.013209468
14,BANR,2019,0.095,15.23038205,7.49234782,1.550967742,0.028774438
14,BANR,2020,0.071,15.80598574,7.635558153,0.09,-7.56021125
14,BANR,2021,0.121,15.98157802,7.70700411,0.079677419,8.358280893
15,TRMK,2004,0.16,13.60352033,6.62459019,2.156129032,-1.955696159
15,TRMK,2005,0.14,13.64122175,6.663562361,4.157096774,-0.731401558
15,TRMK,2006,0.145,13.66788806,6.696201494,5.238064516,-0.060309762
15,TRMK,2007,0.12,13.6942349,6.709662508,4.244516129,-0.836372357
15,TRMK,2008,0.091,14.61425006,6.777513783,0.15516129,-11.63450485
15,TRMK,2009,0.062,14.61266544,6.829052706,0.118064516,-35.05002555
15,TRMK,2010,0.088,14.68792957,6.886930133,0.183225806,-28.98190976
15,TRMK,2011,0.089,14.87723053,6.972049161,0.071612903,-20.25058505
15,TRMK,2012,0.093,14.8806176,7.053322296,0.164516129,-15.30670522
15,TRMK,2013,0.087,15.19975394,7.115001942,0.08516129,-7.406970197
15,TRMK,2014,0.088,15.31889545,7.190448578,0.122580645,-2.841205758
15,TRMK,2015,0.079,15.31652585,7.254915764,0.240645161,-1.759177483
15,TRMK,2016,0.071,15.31066667,7.312790128,0.54,-0.519441513
15,TRMK,2017,0.068,15.30762918,7.380595195,1.301612903,-0.087970518
15,TRMK,2018,0.094,15.22248143,7.442429598,2.274193548,0.013209468
15,TRMK,2019,0.092,15.23038205,7.49234782,1.550967742,0.028774438
15,TRMK,2020,0.094,15.80598574,7.635558153,0.09,-7.56021125
15,TRMK,2021,0.084,15.98157802,7.70700411,0.079677419,8.358280893
16,CATY,2004,0.131,13.60352033,6.62459019,2.156129032,-1.955696159
16,CATY,2005,0.141,13.64122175,6.663562361,4.157096774,-0.731401558
16,CATY,2006,0.136,13.66788806,6.696201494,5.238064516,-0.060309762
16,CATY,2007,0.134,13.6942349,6.709662508,4.244516129,-0.836372357
16,CATY,2008,0.046,14.61425006,6.777513783,0.15516129,-11.63450485
16,CATY,2009,-0.066,14.61266544,6.829052706,0.118064516,-35.05002555
16,CATY,2010,-0.003,14.68792957,6.886930133,0.183225806,-28.98190976
16,CATY,2011,0.057,14.87723053,6.972049161,0.071612903,-20.25058505
16,CATY,2012,0.064,14.8806176,7.053322296,0.164516129,-15.30670522
16,CATY,2013,0.076,15.19975394,7.115001942,0.08516129,-7.406970197
16,CATY,2014,0.089,15.31889545,7.190448578,0.122580645,-2.841205758
16,CATY,2015,0.095,15.31652585,7.254915764,0.240645161,-1.759177483
16,CATY,2016,0.098,15.31066667,7.312790128,0.54,-0.519441513
16,CATY,2017,0.091,15.30762918,7.380595195,1.301612903,-0.087970518
16,CATY,2018,0.131,15.22248143,7.442429598,2.274193548,0.013209468
16,CATY,2019,0.125,15.23038205,7.49234782,1.550967742,0.028774438
16,CATY,2020,0.097,15.80598574,7.635558153,0.09,-7.56021125
16,CATY,2021,0.121,15.98157802,7.70700411,0.079677419,8.358280893
17,CBU,2004,0.111,13.60352033,6.62459019,2.156129032,-1.955696159
17,CBU,2005,0.11,13.64122175,6.663562361,4.157096774,-0.731401558
17,CBU,2006,0.084,13.66788806,6.696201494,5.238064516,-0.060309762
17,CBU,2007,0.092,13.6942349,6.709662508,4.244516129,-0.836372357
17,CBU,2008,0.092,14.61425006,6.777513783,0.15516129,-11.63450485
17,CBU,2009,0.074,14.61266544,6.829052706,0.118064516,-35.05002555
17,CBU,2010,0.105,14.68792957,6.886930133,0.183225806,-28.98190976
17,CBU,2011,0.101,14.87723053,6.972049161,0.071612903,-20.25058505
17,CBU,2012,0.087,14.8806176,7.053322296,0.164516129,-15.30670522
17,CBU,2013,0.091,15.19975394,7.115001942,0.08516129,-7.406970197
17,CBU,2014,0.095,15.31889545,7.190448578,0.122580645,-2.841205758
17,CBU,2015,0.087,15.31652585,7.254915764,0.240645161,-1.759177483
17,CBU,2016,0.085,15.31066667,7.312790128,0.54,-0.519441513
17,CBU,2017,0.099,15.30762918,7.380595195,1.301612903,-0.087970518
17,CBU,2018,0.101,15.22248143,7.442429598,2.274193548,0.013209468
17,CBU,2019,0.093,15.23038205,7.49234782,1.550967742,0.028774438
17,CBU,2020,0.08,15.80598574,7.635558153,0.09,-7.56021125
17,CBU,2021,0.092,15.98157802,7.70700411,0.079677419,8.358280893
18,CFR,2004,0.178,13.60352033,6.62459019,2.156129032,-1.955696159
18,CFR,2005,0.186,13.64122175,6.663562361,4.157096774,-0.731401558
18,CFR,2006,0.171,13.66788806,6.696201494,5.238064516,-0.060309762
18,CFR,2007,0.15,13.6942349,6.709662508,4.244516129,-0.836372357
18,CFR,2008,0.128,14.61425006,6.777513783,0.15516129,-11.63450485
18,CFR,2009,0.097,14.61266544,6.829052706,0.118064516,-35.05002555
18,CFR,2010,0.102,14.68792957,6.886930133,0.183225806,-28.98190976
18,CFR,2011,0.099,14.87723053,6.972049161,0.071612903,-20.25058505
18,CFR,2012,0.1,14.8806176,7.053322296,0.164516129,-15.30670522
18,CFR,2013,0.094,15.19975394,7.115001942,0.08516129,-7.406970197
18,CFR,2014,0.098,15.31889545,7.190448578,0.122580645,-2.841205758
18,CFR,2015,0.094,15.31652585,7.254915764,0.240645161,-1.759177483
18,CFR,2016,0.096,15.31066667,7.312790128,0.54,-0.519441513
18,CFR,2017,0.111,15.30762918,7.380595195,1.301612903,-0.087970518
18,CFR,2018,0.135,15.22248143,7.442429598,2.274193548,0.013209468
18,CFR,2019,0.115,15.23038205,7.49234782,1.550967742,0.028774438
18,CFR,2020,0.08,15.80598574,7.635558153,0.09,-7.56021125
18,CFR,2021,0.1,15.98157802,7.70700411,0.079677419,8.358280893
19,CMA,2004,0.15,13.60352033,6.62459019,2.156129032,-1.955696159
19,CMA,2005,0.17,13.64122175,6.663562361,4.157096774,-0.731401558
19,CMA,2006,0.173,13.66788806,6.696201494,5.238064516,-0.060309762
19,CMA,2007,0.134,13.6942349,6.709662508,4.244516129,-0.836372357
19,CMA,2008,0.034,14.61425006,6.777513783,0.15516129,-11.63450485
19,CMA,2009,-0.017,14.61266544,6.829052706,0.118064516,-35.05002555
19,CMA,2010,0.026,14.68792957,6.886930133,0.183225806,-28.98190976
19,CMA,2011,0.06,14.87723053,6.972049161,0.071612903,-20.25058505
19,CMA,2012,0.073,14.8806176,7.053322296,0.164516129,-15.30670522
19,CMA,2013,0.076,15.19975394,7.115001942,0.08516129,-7.406970197
19,CMA,2014,0.079,15.31889545,7.190448578,0.122580645,-2.841205758
19,CMA,2015,0.068,15.31652585,7.254915764,0.240645161,-1.759177483
19,CMA,2016,0.061,15.31066667,7.312790128,0.54,-0.519441513
19,CMA,2017,0.093,15.30762918,7.380595195,1.301612903,-0.087970518
19,CMA,2018,0.156,15.22248143,7.442429598,2.274193548,0.013209468
19,CMA,2019,0.163,15.23038205,7.49234782,1.550967742,0.028774438
19,CMA,2020,0.062,15.80598574,7.635558153,0.09,-7.56021125
19,CMA,2021,0.143,15.98157802,7.70700411,0.079677419,8.358280893
20,COLB,2004,0.13,13.60352033,6.62459019,2.156129032,-1.955696159
20,COLB,2005,0.137,13.64122175,6.663562361,4.157096774,-0.731401558
20,COLB,2006,0.134,13.66788806,6.696201494,5.238064516,-0.060309762
20,COLB,2007,0.109,13.6942349,6.709662508,4.244516129,-0.836372357
20,COLB,2008,0.015,14.61425006,6.777513783,0.15516129,-11.63450485
20,COLB,2009,-0.018,14.61266544,6.829052706,0.118064516,-35.05002555
20,COLB,2010,0.038,14.68792957,6.886930133,0.183225806,-28.98190976
20,COLB,2011,0.065,14.87723053,6.972049161,0.071612903,-20.25058505
20,COLB,2012,0.061,14.8806176,7.053322296,0.164516129,-15.30670522
20,COLB,2013,0.062,15.19975394,7.115001942,0.08516129,-7.406970197
20,COLB,2014,0.073,15.31889545,7.190448578,0.122580645,-2.841205758
20,COLB,2015,0.079,15.31652585,7.254915764,0.240645161,-1.759177483
20,COLB,2016,0.083,15.31066667,7.312790128,0.54,-0.519441513
20,COLB,2017,0.077,15.30762918,7.380595195,1.301612903,-0.087970518
20,COLB,2018,0.087,15.22248143,7.442429598,2.274193548,0.013209468
20,COLB,2019,0.091,15.23038205,7.49234782,1.550967742,0.028774438
20,COLB,2020,0.068,15.80598574,7.635558153,0.09,-7.56021125
20,COLB,2021,0.085,15.98157802,7.70700411,0.079677419,8.358280893
